date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-01-01 00:00:00,1.22262,1.16668,582,805,2060,754,169548.92756230512
2002-01-08 00:00:00,1.33344,1.2165,683,872,2267,785,174964.95255091618
2002-01-15 00:00:00,1.31929,1.13057,642,878,2176,831,180601.35408556022
2002-01-22 00:00:00,1.49484,1.25246,728,1045,2599,863,193158.09339012258
2002-01-29 00:00:00,1.47195,1.30237,823,1189,2907,909,206960.4628871308
2002-02-05 00:00:00,1.58094,1.40551,887,1272,3225,930,212988.1230827313
2002-02-12 00:00:00,1.49426,1.38437,851,1173,3097,923,208125.0106486976
2002-02-19 00:00:00,1.40569,1.32563,802,1166,2967,922,208555.8017079042
2002-02-26 00:00:00,1.6141,1.43475,834,978,2709,918,179516.60155669114
2002-03-05 00:00:00,1.45967,1.25433,857,1117,3049,937,227071.04984189215
2002-03-12 00:00:00,1.59896,1.25757,804,1179,2957,928,220524.58638195542
2002-03-19 00:00:00,2.16697,1.58017,951,1404,3416,908,203517.46592627204
2002-03-26 00:00:00,2.57842,1.98008,915,937,2857,865,143554.48877792637
2002-04-02 00:00:00,2.38636,1.90428,1028,1019,3260,879,164720.08993619194
2002-04-09 00:00:00,1.7362099999999998,1.5901,1068,1296,3729,926,218378.21834835538
2002-04-16 00:00:00,2.06296,1.81559,1154,1798,4204,902,217560.9008965636
2002-04-23 00:00:00,2.58113,2.41801,1373,2998,5696,927,222254.91338592046
2002-04-30 00:00:00,2.93909,2.86635,1411,4064,7079,884,232897.30809553087
2002-05-07 00:00:00,3.22539,3.16662,1606,4447,7782,889,231606.60810342038
2002-05-14 00:00:00,3.06982,3.0155,1568,4224,7649,903,239365.8188672684
2002-05-21 00:00:00,3.20044,2.9978,1694,3689,7228,871,228699.80140928636
2002-05-28 00:00:00,2.44888,2.31957,1336,2583,5606,857,229504.11073170748
2002-06-04 00:00:00,2.1344,1.94707,1015,2103,4450,839,218599.79796025652
2002-06-11 00:00:00,1.99866,1.72985,880,1669,3810,835,212158.06546082004
2002-06-18 00:00:00,1.93849,1.51837,737,1321,2987,795,191618.88454303768
