date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-01-01 00:00:00,1.22262,1.16668,582,805,2060,754,249577.91468559747
2002-01-08 00:00:00,1.33344,1.2165,683,872,2267,785,259072.23649103363
2002-01-15 00:00:00,1.31929,1.13057,642,878,2176,831,264895.5470670074
2002-01-22 00:00:00,1.49484,1.25246,728,1045,2599,863,279648.87870231306
2002-01-29 00:00:00,1.47195,1.30237,823,1189,2907,909,295056.2594060831
2002-02-05 00:00:00,1.58094,1.40551,887,1272,3225,930,301014.71236885665
2002-02-12 00:00:00,1.49426,1.38437,851,1173,3097,923,294986.2562604984
2002-02-19 00:00:00,1.40569,1.32563,802,1166,2967,922,294806.9059140106
2002-02-26 00:00:00,1.6141,1.43475,834,978,2709,918,259518.6721869561
2002-03-05 00:00:00,1.45967,1.25433,857,1117,3049,937,313499.56217879255
2002-03-12 00:00:00,1.59896,1.25757,804,1179,2957,928,305275.58043099847
2002-03-19 00:00:00,2.16697,1.58017,951,1404,3416,908,286037.7309842672
2002-03-26 00:00:00,2.57842,1.98008,915,937,2857,865,213866.01736651055
2002-04-02 00:00:00,2.38636,1.90428,1028,1019,3260,879,240493.44116116702
2002-04-09 00:00:00,1.7362099999999998,1.5901,1068,1296,3729,926,303536.00224377686
2002-04-16 00:00:00,2.06296,1.81559,1154,1798,4204,902,300296.6962076928
2002-04-23 00:00:00,2.58113,2.41801,1373,2998,5696,927,304037.5135613478
2002-04-30 00:00:00,2.93909,2.86635,1411,4064,7079,884,315166.4417553529
2002-05-07 00:00:00,3.22539,3.16662,1606,4447,7782,889,313675.4673735983
2002-05-14 00:00:00,3.06982,3.0155,1568,4224,7649,903,321308.57737741794
2002-05-21 00:00:00,3.20044,2.9978,1694,3689,7228,871,308491.75897829584
2002-05-28 00:00:00,2.44888,2.31957,1336,2583,5606,857,308795.00054865336
2002-06-04 00:00:00,2.1344,1.94707,1015,2103,4450,839,295392.29170226626
2002-06-11 00:00:00,1.99866,1.72985,880,1669,3810,835,286825.623432769
2002-06-18 00:00:00,1.93849,1.51837,737,1321,2987,795,263032.9884172819
2002-06-25 00:00:00,1.41293,1.22616,624,1016,2439,775,264956.3814211552
2002-07-02 00:00:00,1.23472,1.05433,506,846,2028,741,258127.79848540062
2002-07-09 00:00:00,1.20005,1.07108,569,799,2082,735,259898.2365836754
2002-07-16 00:00:00,0.910135,0.8261200000000001,440,539,1467,669,242829.69430524192
2002-07-23 00:00:00,0.932265,0.8205049999999999,429,508,1445,682,241102.17318460188
2002-07-30 00:00:00,0.692175,0.630846,275,444,1075,655,235136.67752523138
2002-08-06 00:00:00,0.6694060000000001,0.63935,215,471,1005,613,221662.21462886428
2002-08-13 00:00:00,0.727705,0.586609,248,283,836,547,206726.79495831413
2002-08-20 00:00:00,0.717701,0.7730239999999999,264,262,740,406,159683.43220469845
2002-08-27 00:00:00,0.7893939999999999,0.790743,213,205,641,393,144762.14312221343
2002-09-03 00:00:00,0.722129,0.711847,201,195,563,344,142533.94514841482
2002-09-10 00:00:00,0.591326,0.794637,198,187,620,341,141212.85711007146
2002-09-17 00:00:00,0.52307,0.586604,139,123,423,322,135046.90008547498
2002-09-24 00:00:00,0.4502359999999999,0.6159819999999999,122,124,441,322,134278.09669912868
2002-10-01 00:00:00,0.397421,0.4915069999999999,109,91,318,310,127133.47182062152
2002-10-08 00:00:00,0.448002,0.604341,137,141,441,308,135157.05460072204
2002-10-15 00:00:00,0.474767,0.524478,98,98,365,301,131529.8841629375
2002-10-22 00:00:00,0.453251,0.590692,112,139,420,302,132793.02481157982
2002-10-29 00:00:00,0.3521579999999999,0.505135,100,120,361,290,132910.58569918908
2002-11-05 00:00:00,0.5253220000000001,0.634271,136,125,443,295,131044.75295722357
2002-11-12 00:00:00,0.492991,0.610118,120,131,421,283,129961.83814525866
2002-11-19 00:00:00,0.542728,0.641227,159,144,450,277,130897.3444120594
2002-11-26 00:00:00,0.490347,0.661429,166,155,463,276,130483.0576268801
2002-12-03 00:00:00,0.7359140000000001,0.7926810000000001,177,182,519,271,125725.12702784226
2002-12-10 00:00:00,0.581771,0.639059,145,184,475,267,134353.05508612987
2002-12-17 00:00:00,0.654162,0.636732,136,183,461,264,132207.40773052815
2002-12-24 00:00:00,0.749504,0.747829,135,221,533,268,130907.93180067366
2002-12-31 00:00:00,0.884021,0.960873,808,881,2442,830,313609.2101350235
2003-01-07 00:00:00,1.02773,1.04325,913,1132,2932,931,340341.91049582645
2003-01-14 00:00:00,1.28296,1.0545,878,1147,3031,974,346565.6756519791
2003-01-21 00:00:00,1.32661,1.11231,1006,1369,3475,1007,371375.16401924635
2003-01-28 00:00:00,1.7730400000000002,1.41274,1207,2080,4690,1074,390777.0897466196
2003-02-04 00:00:00,2.43814,1.7270299999999998,1542,2735,5790,1111,393889.12321562064
2003-02-11 00:00:00,2.72605,2.407,2185,4133,8385,1141,406823.89306805114
2003-02-18 00:00:00,3.73192,3.10962,2561,5684,11141,1129,416573.01819476875
2003-02-25 00:00:00,4.54894,4.30779,3247,4933,11742,1118,330706.1414762571
2003-03-04 00:00:00,5.39906,4.8303,4734,7817,18948,1189,450234.93674279633
2003-03-11 00:00:00,7.38735,6.42905,6620,11550,24962,1173,446059.095944009
2003-03-18 00:00:00,7.48097,6.86734,6434,9851,23699,1148,402714.3245008851
2003-03-25 00:00:00,7.627969999999999,7.064960000000001,5336,5231,16415,1122,289786.3698118322
2003-04-01 00:00:00,5.14051,4.55115,3391,2894,11332,1139,306257.04535117495
2003-04-08 00:00:00,2.89129,2.41833,1930,2299,7602,1160,371434.26517591067
2003-04-15 00:00:00,2.10429,1.80906,1679,1857,5583,1141,365517.0875444879
2003-04-22 00:00:00,1.88696,1.71202,1721,1604,4961,1084,346492.7370140965
2003-04-29 00:00:00,1.7766,1.5425,1487,1543,4436,1071,344118.463704954
2003-05-06 00:00:00,1.46001,1.43787,1454,1448,4251,1054,351990.4916986589
2003-05-13 00:00:00,1.3778700000000002,1.32427,1420,1297,3824,986,344917.0157169842
2003-05-20 00:00:00,1.30532,1.30726,1301,1255,3691,1004,338311.203254834
2003-05-27 00:00:00,1.08691,1.03698,956,1038,2916,948,336974.1771772136
2003-06-03 00:00:00,0.991888,1.01032,925,910,2744,894,327176.01297079766
2003-06-10 00:00:00,1.02765,1.05249,878,888,2708,897,312678.74014157976
2003-06-17 00:00:00,1.0579,1.02009,730,826,2487,849,298991.3699017827
2003-06-24 00:00:00,0.849361,0.924419,760,733,2300,859,303797.8710113741
2003-07-01 00:00:00,0.7471270000000001,0.7906449999999999,610,611,1858,828,289793.1649167535
2003-07-08 00:00:00,0.661708,0.80261,583,566,1705,774,267028.1140791427
2003-07-15 00:00:00,0.6795140000000001,0.8361299999999999,545,573,1749,755,263573.5095083315
2003-07-22 00:00:00,0.633071,0.7924359999999999,501,511,1615,679,257995.0755202482
2003-07-29 00:00:00,0.569894,0.683588,470,404,1331,658,248696.46105149778
2003-08-05 00:00:00,0.591357,0.757452,435,491,1394,629,237819.2433593531
2003-08-12 00:00:00,0.589044,0.7885850000000001,449,443,1327,599,221846.919007544
2003-08-19 00:00:00,0.6786399999999999,0.812171,451,380,1262,553,208742.94910193284
2003-08-26 00:00:00,0.637558,0.804463,375,349,1070,463,186146.76644493206
2003-09-02 00:00:00,0.8133090000000001,0.8777010000000001,391,308,1061,452,173799.80793465843
2003-09-09 00:00:00,0.834551,0.741453,355,309,987,443,185804.5642679258
2003-09-16 00:00:00,0.616174,0.661022,307,240,851,426,181193.62582295097
2003-09-23 00:00:00,0.513286,0.715109,277,284,887,423,176250.76550024422
2003-09-30 00:00:00,0.351881,0.562241,238,183,698,408,176113.97607177665
2003-10-07 00:00:00,0.542621,0.786808,233,205,710,381,141954.43105425584
2003-10-14 00:00:00,0.581036,0.860658,249,280,836,378,148594.46176483654
2003-10-21 00:00:00,0.495486,0.689944,259,200,659,370,146712.4880152599
2003-10-28 00:00:00,0.6120899999999999,0.779691,260,230,719,363,143147.00355713698
2003-11-04 00:00:00,0.5314909999999999,0.6281439999999999,213,235,733,345,167353.58325590807
2003-11-11 00:00:00,0.519987,0.902459,243,256,809,334,140030.843729415
2003-11-18 00:00:00,0.574476,0.806443,256,256,770,335,145591.43840561245
2003-11-25 00:00:00,0.663175,0.8748879999999999,259,265,799,333,141158.02569654543
2003-12-02 00:00:00,0.614691,0.993213,279,358,960,326,146208.2556474607
2003-12-09 00:00:00,0.6568229999999999,0.876141,281,309,913,337,153478.73127356626
2003-12-16 00:00:00,0.723016,0.948092,342,413,1122,341,167333.99458207894
2003-12-23 00:00:00,0.6918569999999999,0.926943,322,416,1089,336,166193.5423339778
2003-12-30 00:00:00,0.782758,0.971643,333,382,1116,364,163287.91065682337
2004-01-06 00:00:00,0.982275,0.897159,877,1256,3171,1176,401601.6136322146
2004-01-13 00:00:00,1.01821,1.0224799999999998,1071,1373,3631,1187,402992.10982450086
2004-01-20 00:00:00,1.1768,1.06296,1240,1534,4019,1267,425695.795312587
2004-01-27 00:00:00,1.30121,1.14696,1190,1671,4369,1293,428251.0308718805
2004-02-03 00:00:00,1.27746,1.20495,1327,1718,4551,1302,424753.18100998655
2004-02-10 00:00:00,1.4038700000000002,1.3051700000000002,1497,1874,4969,1344,427513.6276987555
2004-02-17 00:00:00,1.40301,1.28699,1531,1874,4983,1336,433715.78560954216
2004-02-24 00:00:00,1.73975,1.59468,1490,1678,4713,1341,341822.084622342
2004-03-02 00:00:00,1.56894,1.39714,1538,2059,5407,1369,433027.0627895483
2004-03-09 00:00:00,1.65927,1.44996,1551,2052,5428,1346,420131.3449283611
